nballs,dtheta_label,seed,timesteps,mean_reward,cycle_length,rho,area,noop_fraction,arm,source,howard_gain_from_summary,howard_L_from_summary,rho_eff,area_eff,mean_reward_eff,cycle_length_eff,howard_gain,howard_L,recovery_pct
4,pi30,4,1000000,0.7862677508913206,31,42.17586591521028,0.5779205654397864,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_004/summary.json,0.8313385063254675,33.0,42.17586591521028,0.5779205654397864,0.7862677508913206,31.0,0.8313385063254675,33,94.57853147770571
4,pi30,5,1000000,0.7693925656031855,28,40.44747464530658,0.532616486586734,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_005/summary.json,0.8313385063254675,33.0,40.44747464530658,0.532616486586734,0.7693925656031855,28.0,0.8313385063254675,33,92.54865012856384
4,pi30,6,1000000,0.7421100727058683,56,42.17644695726256,0.985340564928088,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_006/summary.json,0.8313385063254675,33.0,42.17644695726256,0.985340564928088,0.7421100727058683,56.0,0.8313385063254675,33,89.26689514070621
4,pi30,7,1000000,0.7531379803098455,27,42.59120799018107,0.4774395098879039,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_007/summary.json,0.8313385063254675,33.0,42.59120799018107,0.4774395098879039,0.7531379803098455,27.0,0.8313385063254675,33,90.5934194770708
4,pi30,8,1000000,0.7344515562885084,26,42.67777176026764,0.4474399593954214,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_008/summary.json,0.8313385063254675,33.0,42.67777176026764,0.4474399593954214,0.7344515562885084,26.0,0.8313385063254675,33,88.34566794395207
4,pi30,9,1000000,0.7283239966125237,26,41.23660263607635,0.4592139677229097,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_009/summary.json,0.8313385063254675,33.0,41.23660263607635,0.4592139677229097,0.7283239966125237,26.0,0.8313385063254675,33,87.60859638653453
3,pi20,0,1000000,0.7486259537959812,23,36.569490766068846,0.4708404896161072,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/N3_dtheta_pi20_factored/summary.csv,,,,,,,0.8013941717682974,48,93.41544774952858
4,pi30,9,1000000,0.5214274400800052,19,42.30046762263009,0.2342083177402026,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,62.72143490438386
4,pi30,8,1000000,0.6824875389577935,27,44.38792664311761,0.4151390917628628,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.8313385063254675,33,82.09502311812811
3,pi30,6,1000000,0.4483508927763136,30,38.31665671019151,0.3510360229239891,0.0,factored,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase6_factored/results/ppo_sweeps_phase6/summary_all.csv,,,,,,,0.5394214790584808,35,83.11698925279654
